epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0017268657684326172 ; True
0.95 ; 2 ; 0.0017642974853515625 ; True
0.9 ; 2 ; 0.0017251968383789062 ; True
0.85 ; 2 ; 0.0017173290252685547 ; True
0.8 ; 2 ; 0.001779317855834961 ; True
0.75 ; 2 ; 0.00173187255859375 ; True
0.7 ; 2 ; 0.0017147064208984375 ; True
0.65 ; 2 ; 0.001720428466796875 ; True
0.6 ; 2 ; 0.001722574234008789 ; True
0.55 ; 2 ; 0.0017366409301757812 ; True
0.5 ; 2 ; 0.0017287731170654297 ; True
0.45 ; 3 ; 0.0029273033142089844 ; True
0.4 ; 3 ; 0.0029802322387695312 ; True
0.35 ; 3 ; 0.0029752254486083984 ; True
0.3 ; 4 ; 0.004190683364868164 ; True
0.25 ; 5 ; 0.005717277526855469 ; True
0.2 ; 6 ; 0.007482767105102539 ; True
0.15 ; 7 ; 0.009420156478881836 ; True
0.1 ; 11 ; 0.019819974899291992 ; True
0.05 ; 24 ; 0.12207889556884766 ; True
