epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0017070770263671875 ; True
0.95 ; 2 ; 0.001710653305053711 ; True
0.9 ; 2 ; 0.001711130142211914 ; True
0.85 ; 2 ; 0.0017154216766357422 ; True
0.8 ; 2 ; 0.0017151832580566406 ; True
0.75 ; 2 ; 0.0017397403717041016 ; True
0.7 ; 2 ; 0.0017855167388916016 ; True
0.65 ; 2 ; 0.001720428466796875 ; True
0.6 ; 2 ; 0.0017333030700683594 ; True
0.55 ; 2 ; 0.0017185211181640625 ; True
0.5 ; 2 ; 0.0017151832580566406 ; True
0.45 ; 3 ; 0.003041982650756836 ; True
0.4 ; 3 ; 0.0029718875885009766 ; True
0.35 ; 3 ; 0.002925395965576172 ; True
0.3 ; 4 ; 0.004192352294921875 ; True
0.25 ; 5 ; 0.0059778690338134766 ; True
0.2 ; 6 ; 0.007412910461425781 ; True
0.15 ; 7 ; 0.009464025497436523 ; True
0.1 ; 11 ; 0.019711017608642578 ; True
0.05 ; 25 ; 0.135009765625 ; True
