epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0018897056579589844 ; True
0.95 ; 2 ; 0.0009884834289550781 ; True
0.9 ; 2 ; 0.0008285045623779297 ; True
0.85 ; 2 ; 0.0008406639099121094 ; True
0.8 ; 2 ; 0.0009875297546386719 ; True
0.75 ; 2 ; 0.0010831356048583984 ; True
0.7 ; 2 ; 0.0009546279907226562 ; True
0.65 ; 2 ; 0.0020918846130371094 ; True
0.6 ; 2 ; 0.0011439323425292969 ; True
0.55 ; 2 ; 0.0011267662048339844 ; True
0.5 ; 3 ; 0.002371072769165039 ; True
0.45 ; 3 ; 0.0016410350799560547 ; True
0.4 ; 3 ; 0.0016443729400634766 ; True
0.35 ; 3 ; 0.0015666484832763672 ; True
0.3 ; 4 ; 0.003124237060546875 ; True
0.25 ; 5 ; 0.003956794738769531 ; True
0.2 ; 6 ; 0.004821300506591797 ; True
0.15 ; 8 ; 0.0076868534088134766 ; True
0.1 ; 11 ; 0.013184785842895508 ; True
0.09 ; 13 ; 0.01837921142578125 ; True
0.08 ; 14 ; 0.021471023559570312 ; True
0.07 ; 17 ; 0.03421211242675781 ; True
0.06 ; 21 ; 0.05723237991333008 ; True
0.05 ; 26 ; 0.10284566879272461 ; True
0.04 ; 37 ; 0.2827928066253662 ; True
0.03 ; 80 ; 28.092733144760132 ; False
