epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.004952907562255859 ; True
0.95 ; 2 ; 0.0033054351806640625 ; True
0.9 ; 2 ; 0.0025129318237304688 ; True
0.85 ; 2 ; 0.0022258758544921875 ; True
0.8 ; 2 ; 0.002084016799926758 ; True
0.75 ; 2 ; 0.0019102096557617188 ; True
0.7 ; 2 ; 0.0017535686492919922 ; True
0.65 ; 2 ; 0.0015835762023925781 ; True
0.6 ; 2 ; 0.0014767646789550781 ; True
0.55 ; 2 ; 0.0013382434844970703 ; True
0.5 ; 3 ; 0.002286195755004883 ; True
0.45 ; 3 ; 0.007214784622192383 ; True
0.4 ; 3 ; 0.007010221481323242 ; True
0.35 ; 3 ; 0.004594326019287109 ; True
0.3 ; 4 ; 0.004660129547119141 ; True
0.25 ; 5 ; 0.004740238189697266 ; True
0.2 ; 6 ; 0.009154558181762695 ; True
0.15 ; 8 ; 0.00835418701171875 ; True
0.1 ; 12 ; 0.01779484748840332 ; True
0.09 ; 14 ; 0.023303508758544922 ; True
0.08 ; 17 ; 0.036493539810180664 ; True
0.07 ; 19 ; 0.04630422592163086 ; True
0.06 ; 23 ; 0.07172036170959473 ; True
0.05 ; 31 ; 0.1619882583618164 ; True
0.04 ; 49 ; 205.60563969612122 ; False
