epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.00866842269897461 ; True
0.95 ; 2 ; 0.008388280868530273 ; True
0.9 ; 2 ; 0.00844264030456543 ; True
0.85 ; 2 ; 0.008403778076171875 ; True
0.8 ; 2 ; 0.008501768112182617 ; True
0.75 ; 2 ; 0.008383512496948242 ; True
0.7 ; 2 ; 0.008327245712280273 ; True
0.65 ; 2 ; 0.009203910827636719 ; True
0.6 ; 2 ; 0.008801937103271484 ; True
0.55 ; 2 ; 0.008810281753540039 ; True
0.5 ; 3 ; 0.016923189163208008 ; True
0.45 ; 3 ; 0.01711273193359375 ; True
0.4 ; 3 ; 0.016968250274658203 ; True
0.35 ; 3 ; 0.016898393630981445 ; True
0.3 ; 4 ; 0.025480985641479492 ; True
0.25 ; 5 ; 0.037748098373413086 ; True
0.2 ; 6 ; 0.047620534896850586 ; True
0.15 ; 7 ; 0.06160736083984375 ; True
0.1 ; 11 ; 0.12667346000671387 ; True
0.05 ; 24 ; 0.7346954345703125 ; True
