epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.002244710922241211 ; True
0.95 ; 2 ; 0.0011072158813476562 ; True
0.9 ; 2 ; 0.0009748935699462891 ; True
0.85 ; 2 ; 0.0011715888977050781 ; True
0.8 ; 2 ; 0.0009758472442626953 ; True
0.75 ; 2 ; 0.0010292530059814453 ; True
0.7 ; 2 ; 0.0009539127349853516 ; True
0.65 ; 2 ; 0.0009622573852539062 ; True
0.6 ; 2 ; 0.0009775161743164062 ; True
0.55 ; 2 ; 0.0009844303131103516 ; True
0.5 ; 3 ; 0.0039556026458740234 ; True
0.45 ; 3 ; 0.002051115036010742 ; True
0.4 ; 3 ; 0.0020630359649658203 ; True
0.35 ; 3 ; 0.002135038375854492 ; True
0.3 ; 4 ; 0.004541158676147461 ; True
0.25 ; 5 ; 0.006318569183349609 ; True
0.2 ; 6 ; 0.009418487548828125 ; True
0.15 ; 7 ; 0.013666629791259766 ; True
0.1 ; 11 ; 0.04804706573486328 ; True
0.09 ; 13 ; 0.0798501968383789 ; True
0.08 ; 15 ; 0.12849903106689453 ; True
0.07 ; 17 ; 0.1900331974029541 ; True
0.06 ; 20 ; 0.3322904109954834 ; True
0.05 ; 25 ; 0.6769344806671143 ; True
0.04 ; 32 ; 1.5060765743255615 ; True
0.03 ; 61 ; 10.856384992599487 ; True
0.02 ; 80 ; 56.13666081428528 ; False
